BANC,cell_type,super_class,consensus_edges,null_mean,conservation_z
720575941508471824,DNg81,descending,2,0.04,10.0
720575941556446436,AN08B013,ascending,2,0.04,10.0
720575941448063764,AN08B014,ascending,2,0.04,10.0
720575941535852522,AN06B039,ascending,2,0.04,10.0
720575941542421340,AN07B013,ascending,2,0.04,10.0
720575941690766555,DNge120,descending,2,0.04,10.0
720575941548246920,AN27X015,ascending,2,0.04,10.0
720575941589304644,DNge048,descending,4,0.18,9.94
720575941663102520,DNg34,descending,8,0.5,9.93
720575941477894686,AN12B001,ascending,3,0.1,9.67
720575941574973705,ANXXX094,ascending,3,0.1,9.67
720575941629968166,AN27X011,ascending,4,0.2,9.5
720575941642906529,DNge124,descending,4,0.2,9.5
720575941574979229,DNge142,descending,4,0.2,9.5
720575941640075551,DNge062,descending,3,0.06,9.47
720575941603727545,ANXXX013,ascending,3,0.12,8.86
720575941545123589,AN23B003,ascending,3,0.12,8.86
720575941462261188,DNg35,descending,5,0.3,8.73
720575941526870628,AN08B009,ascending,4,0.26,8.53
720575941662645304,DNd03,descending,3,0.14,8.24
720575941519658862,DNp64,descending,2,0.06,8.17
720575941611992493,DNbe005,descending,2,0.06,8.17
720575941537583336,DNp54,descending,2,0.06,8.17
720575941440583253,AN09B004,ascending,2,0.06,8.17
720575941393983382,AN07B004,ascending,2,0.06,8.17
720575941440441173,AN17A026,ascending,2,0.06,8.17
720575941533515139,AN27X015,ascending,2,0.06,8.17
720575941459023088,DNpe025,descending,2,0.06,8.17
720575941491648999,ANXXX002,ascending,2,0.06,8.17
720575941547317940,DNge032,descending,2,0.06,8.17
720575941620273535,DNd03,descending,3,0.1,8.04
720575941492328167,DNge037,descending,5,0.36,7.84
720575941513768780,DNge037,descending,3,0.16,7.75
