BANC,FAFB,MANC,root_626,fafb_match,manc_match,super_class,cell_type,sexually_dimorphic,hemilineage,neurotransmitter_predicted,cns_network,fafb_cell_type,manc_cell_type,side
720575941579793909,720575940632161311,16648,720575941579793909,720575940632161311,16648,descending,DNge010,dimorphic,LB6,acetylcholine,leg VNC,DNge010,DNml001,
720575941407465902,720575940628267259,25702,720575941407465902,720575940628267259,25702,sensory_ascending,SNxx27,isomorphic,,serotonin,,AN_GNG_196,SNxx27,
720575941556199652,720575940618086535,30685,720575941556199652,720575940618086535,30685,descending,DNge115,isomorphic,LB7,acetylcholine,dorsal VNC,DNge115,DNxn109,
720575941558298660,720575940627718444,23001,720575941558298660,720575940627718444,23001,sensory_ascending,SNxx29,isomorphic,,serotonin,,AN_GNG_196,SNxx29,
720575941557512307,720575940631987364,26720,720575941557512307,720575940631987364,26720,descending,DNg12_a,isomorphic,MX12,acetylcholine,dorsal VNC,DNg12_a,DNnt008,
720575941486574598,720575940627850622,24845,720575941486574598,720575940627850622,24845,descending,DNg02_g,dimorphic,LB12,acetylcholine,dorsal VNC,DNg02_g,DNg02,
720575941555160986,720575940628744023,24344,720575941555160986,720575940628744023,24344,sensory_ascending,SAabg01,isomorphic,,acetylcholine,,SA_MDA_4,SAxx01,
720575941598492457,720575940622347784,35789,720575941598492457,720575940622347784,35789,descending,DNg05_b,isomorphic,LB12,acetylcholine,dorsal VNC,DNg05_b,DNg05,
720575941563064071,720575940626834698,26725,720575941563064071,720575940626834698,26725,descending,DNg12_b,isomorphic,MX12,acetylcholine,leg VNC,DNg12_b,DNg12,
720575941665097203,720575940631124076,32317,720575941665097203,720575940631124076,32317,descending,DNge134,isomorphic,putative_primary,glutamate,leg VNC,DNge134,DNxn073,
720575941428247800,720575940613834438,23583,720575941428247800,720575940613834438,23583,ascending,AN12B089,dimorphic,12B,gaba,leg VNC,,AN12B089,
720575941554888676,720575940611498419,36489,720575941554888676,720575940611498419,36489,descending,DNge111,isomorphic,LB7,acetylcholine,posterior brain,DNge111,DNxn144,
720575941438669653,720575940627558082,22478,720575941438669653,720575940627558082,22478,ascending,AN12B055,isomorphic,12B,gaba,leg VNC,AN_GNG_127,AN12B055,
720575941476632385,720575940612804862,26979,720575941476632385,720575940612804862,26979,descending,DNg01,isomorphic,LB12,acetylcholine,posterior brain,DNg01,DNg01,
720575941527175524,720575940620328828,26189,720575941527175524,720575940620328828,26189,descending,DNg03,isomorphic,LB12,acetylcholine,superior brain,DNg03,DNg03,
720575941573370696,720575940634198926,32815,720575941573370696,720575940634198926,32815,descending,DNge019,isomorphic,MX12,acetylcholine,leg VNC,DNge019,DNg12,
720575941540535069,720575940632355885,34253,720575941540535069,720575940632355885,34253,descending,DNge020,isomorphic,MX12,acetylcholine,leg VNC,DNge020,DNg12,
720575941392665750,720575940623013564,28590,720575941392665750,720575940623013564,28590,sensory_ascending,SAxx02,isomorphic,,serotonin,,SA_VTV_6,SAxx02,
720575941392812548,720575940627732361,10681,720575941392812548,720575940627732361,10681,descending,DNp26,isomorphic,putative_primary,acetylcholine,dorsal VNC,DNp26,DNp26,
720575941511336402,720575940621325034,18852,720575941511336402,720575940621325034,18852,descending,DNg04,isomorphic,LB12,acetylcholine,dorsal VNC,DNg04,DNg04,
720575941658542928,720575940619266183,21434,720575941658542928,720575940619266183,21434,ascending,AN05B078,isomorphic,05B,gaba,leg VNC,AN_GNG_AVLP_2,AN05B078,
720575941525796098,720575940639571931,44495,720575941525796098,720575940639571931,44495,sensory_ascending,SAch01,dimorphic,,acetylcholine,,AN_GNG_192,SAch01,
720575941477006388,720575940622836970,45618,720575941477006388,720575940622836970,45618,descending,DNpe012,isomorphic,PSp2,acetylcholine,posterior brain,DNpe012,DNxn104,
720575941490799157,720575940618936710,14171,720575941490799157,720575940618936710,14171,descending,DNp58,isomorphic,SMPpv2_dorsal,serotonin,flange median bundle,DNp58,DNp58,
720575941502628695,720575940623431351,10323,720575941502628695,720575940623431351,10323,descending,DNp15,isomorphic,putative_primary,acetylcholine,dorsal VNC,DNp15,DNp15,
720575941516800147,720575940611531986,17193,720575941516800147,720575940611531986,17193,descending,DNge002,isomorphic,putative_primary,acetylcholine,flange median bundle,DNge002,DNnt019,
720575941543173405,720575940617539355,24878,720575941543173405,720575940617539355,24878,ascending,ANXXX433,isomorphic,27X,gaba,flange median bundle,AN_GNG_PRW_1,ANXXX433,
720575941409214894,720575940629509948,53591964492,720575941409214894,720575940629509948,53591964492,descending,DNp25,isomorphic,DM2_central,gaba,flange median bundle,DNp25,DNp25,left
720575941552907838,720575940617280657,17575,720575941552907838,720575940617280657,17575,descending,DNp45,isomorphic,putative_primary,acetylcholine,leg VNC,DNp45,DNp45,
720575941563622759,720575940615677090,44959,720575941563622759,720575940615677090,44959,sensory_ascending,SAch01,dimorphic,,acetylcholine,,LgAG1,SAch01,
720575941565477174,720575940625718053,31787,720575941565477174,720575940625718053,31787,descending,DNde003,isomorphic,putative_primary,acetylcholine,leg VNC,DNde003,DNfl021,
720575941590752396,720575940626760600,22345,720575941590752396,720575940626760600,22345,ascending,AN09B033,isomorphic,09B,acetylcholine,flange median bundle,AN_multi_117,AN09B033,
720575941596596357,720575940610715346,41456,720575941596596357,720575940610715346,41456,descending,DNpe035,isomorphic,SMPpv1,acetylcholine,flange median bundle,DNpe035,DNit004,
